,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists
13061,386849863,26,15,1,0,4,17,4,2200,93,108,115,377
13062,91741256,87,45,1,4,9,68,5,8787,239,361,551,1167
13063,196074568,1,0,0,1,0,0,0,340,9,4,4,17
13064,1030642760,2,1,1,1,0,0,0,423,11,17,6,22
13065,874568778,1,1,1,0,0,0,0,620,23,18,9,21
13066,106847308,2,1,0,2,0,0,0,574,28,22,10,28
13067,172514386,1,0,0,1,0,0,0,143,12,0,4,2
13068,295296084,5,2,1,4,0,0,0,1207,64,61,30,53
13069,174906458,4,2,2,0,0,2,0,962,29,27,9,48
13070,203447388,10,6,0,0,0,6,4,363,7,28,78,160
13071,367189085,2,1,2,0,0,0,0,551,29,26,7,20
13072,100785249,5,3,0,2,0,1,2,468,18,24,21,61
13073,164682850,3,2,2,0,0,0,1,670,13,31,15,47
13074,231627877,1,1,0,1,0,0,0,241,0,14,7,12
13075,231496806,9,5,4,4,0,1,0,1655,130,70,26,88
13076,1107024999,1,0,1,0,0,0,0,10,0,1,2,1
13077,232414309,4,0,0,0,0,2,2,132,10,13,40,63
13078,206298218,16,5,0,1,4,5,6,718,56,31,65,76
13079,161930347,17,7,3,4,9,1,0,3034,148,85,91,179
13080,76405868,1,1,1,0,0,0,0,551,27,14,4,23
13081,124902508,17,14,1,3,12,1,0,2977,237,122,84,249
13082,835837038,2,0,0,0,0,2,0,65,5,3,10,12
13083,231005295,2,0,0,1,0,1,0,334,19,4,10,14
13084,116153456,21,9,0,3,4,11,3,1216,116,125,141,253
13085,55532657,5,3,4,0,0,0,1,1124,53,58,19,36
13086,439245938,1,0,0,1,0,0,0,115,8,7,8,6
13087,179625075,5,4,5,0,0,0,0,1605,49,35,13,45
13088,146660468,1,1,0,1,0,0,0,290,15,10,2,16
13089,874077298,1,1,0,0,1,0,0,187,9,8,0,10
13090,160554098,11,7,0,0,1,0,10,557,64,38,79,187
13091,844979320,1,0,1,0,0,0,0,38,2,5,8,0
13092,416242810,2,0,0,1,1,0,0,132,19,7,20,11
13093,328326269,9,5,4,3,1,1,0,1443,115,62,39,103
13094,340089982,1,0,0,1,0,0,0,187,8,3,3,9
13095,86891646,40,17,18,16,5,1,0,9061,575,292,129,369
13096,959601791,19,13,3,14,2,0,0,4604,176,169,76,247
13097,208362625,4,2,0,1,3,0,0,670,43,36,18,66
13098,297753734,1,0,0,0,0,1,0,34,6,0,17,6
13099,902454409,2,1,0,2,0,0,0,654,15,31,11,31
13100,161537163,2,0,0,0,1,0,1,97,16,3,3,5
13101,869293196,1,0,0,0,1,0,0,200,4,6,9,11
13102,1064754319,6,4,2,2,2,0,0,561,38,56,27,71
13103,891018384,1,0,0,0,0,0,1,49,2,2,10,21
13104,364141716,1,1,0,0,0,0,1,16,1,5,5,23
13105,125787285,3,2,0,0,0,1,2,66,6,10,19,37
13106,1080745109,5,2,2,1,0,2,0,505,24,33,12,14
13107,300473495,10,3,3,5,2,0,0,2115,142,56,39,64
13108,349494427,1,1,0,0,0,0,1,19,13,3,0,5
13109,381574299,1,0,0,0,0,1,0,11,3,2,11,8
13110,134995102,3,1,3,0,0,0,0,1209,82,37,5,11
13111,427777184,4,2,0,0,4,0,0,510,37,21,24,31
13112,1102011552,7,4,1,2,4,0,0,838,25,38,18,66
13113,1037687971,1,0,0,0,0,0,1,100,4,6,14,7
13114,302734499,1,1,0,0,0,0,1,19,4,2,5,24
13115,333765799,8,3,5,2,1,0,0,2335,69,58,31,89
13116,286383272,8,2,1,0,1,5,1,488,97,45,55,90
13117,91380904,83,23,45,26,11,1,0,19027,732,601,374,734
13118,206593195,6,4,0,0,0,3,3,142,11,15,26,90
13119,189815984,2,0,1,1,0,0,0,358,25,12,11,10
13120,311254193,2,1,0,1,0,1,0,192,10,12,14,27
13121,162225330,1,1,0,0,0,1,0,126,3,4,7,22
13122,313744564,163,73,126,31,6,0,0,51724,2699,1245,496,1306
13123,881188020,198,91,50,91,44,8,5,51704,2162,1557,1081,1701
13124,461659324,5,3,0,1,3,0,1,569,26,39,42,80
13125,75750590,169,72,0,0,0,40,129,8077,685,424,1019,2009
13126,339762367,5,3,0,0,0,5,0,178,23,26,31,53
13127,175791294,8,5,3,4,1,0,0,1293,102,71,21,56
13128,112024766,5,2,0,0,0,0,5,213,24,19,46,70
13129,414768325,2,0,0,2,0,0,0,361,19,11,13,12
13130,414997702,1,0,1,0,0,0,0,30,5,1,3,0
13131,360111303,2,1,0,0,0,2,0,78,4,9,11,30
13132,317578440,82,40,0,1,5,52,24,4097,223,288,561,1134
13133,125656265,5,1,2,2,1,0,0,818,37,26,23,33
13134,223206601,2,1,0,0,1,0,1,263,33,9,18,20
13135,101866704,607,294,10,18,24,170,385,46815,1669,2388,4995,7414
13136,1009245393,238,129,19,48,147,22,2,40061,771,1411,1306,2373
13137,122543313,4,2,0,1,1,0,2,405,22,27,33,76
13138,247487697,1,0,0,1,0,0,0,101,9,2,5,3
13139,847600852,1,0,0,1,0,0,0,194,13,1,4,2
13140,125000917,4,0,0,3,1,0,0,451,43,11,23,24
13141,310828245,7,2,1,3,3,0,0,1134,45,36,37,46
13142,370302165,4,0,1,1,2,0,0,600,65,24,27,19
13143,906222809,11,5,5,3,1,0,2,2558,97,44,31,70
13144,393043162,3,1,0,1,2,0,0,345,15,20,21,32
13145,184966362,2,1,1,1,0,0,0,336,31,14,6,11
13146,136273116,18,7,1,4,10,2,1,2255,111,50,96,194
13147,251976925,1,0,0,0,0,1,0,30,2,1,5,10
13148,77356252,6,4,0,0,0,4,2,127,16,19,25,76
13149,184638688,9,4,0,0,0,3,6,164,15,11,39,82
13150,250502369,2,2,0,0,0,2,0,65,8,7,11,32
13151,182115552,8,5,0,0,0,1,7,228,7,16,49,105
13152,143154403,18,7,9,5,4,0,0,3322,352,147,103,136
13153,377642212,4,2,0,0,0,3,1,75,13,17,33,59
13154,197287141,1,0,0,1,0,0,0,204,8,8,6,3
13155,906288361,1,0,0,0,1,0,0,82,3,2,5,6
13156,75390186,74,44,0,0,3,50,21,3319,199,236,454,1158
13157,175463659,292,177,217,65,9,0,1,111887,4827,2477,914,2504
13158,889904361,1,0,0,0,0,0,1,37,5,0,6,2
