,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists,Unnamed: 0,name,estimate_mmr,solo_competetive_rank,leaderboard_rank,calculated_position
466,179773256,63,34,1,9,44,9,0,165.20634920634922,8.015873015873016,3.5714285714285716,4.571428571428571,13.015873015873016,1490,Aville,5569.0,6549.0,598.0,3.0
602,94120026,63,27,26,27,9,0,1,268.6031746031746,12.777777777777779,7.222222222222222,4.0476190476190474,8.746031746031745,445,Snow,5672.0,7875.0,257.0,2.0
449,287481472,63,24,0,0,4,35,24,44.79365079365079,2.492063492063492,2.6984126984126986,6.444444444444445,10.285714285714286,1889,SoNiC,6157.0,8207.0,48.0,4.0
631,173812218,63,24,0,2,1,55,5,74.07936507936508,3.8412698412698414,3.3968253968253967,6.523809523809524,13.603174603174603,1443,Zach,6142.0,6551.0,177.0,4.0
140,235505993,62,27,0,0,5,46,11,58.274193548387096,3.2096774193548385,2.5483870967741935,6.596774193548387,12.596774193548388,1775,Forcemajor,5854.0,6025.0,340.0,4.0
1379,191750126,62,27,43,13,3,2,1,276.7258064516129,17.548387096774192,7.016129032258065,4.129032258064516,8.14516129032258,1572,EstroYER,4843.0,,51.0,1.0
1304,171498131,61,34,1,6,42,11,1,123.27868852459017,6.655737704918033,4.491803278688525,6.868852459016393,13.0,1422,NoName♥,5558.0,6042.0,157.0,3.0
545,139174891,61,33,27,19,12,3,0,257.8032786885246,18.098360655737704,6.622950819672131,3.7049180327868854,8.721311475409836,1147,897,7847.0,8353.0,,1.0
729,23900288,61,20,23,27,10,1,0,235.45901639344262,14.491803278688524,5.688524590163935,5.032786885245901,9.360655737704919,47,TCG,5115.0,5309.0,753.0,2.0
794,358102129,61,31,16,33,8,2,2,230.88524590163934,10.754098360655737,6.016393442622951,4.262295081967213,8.540983606557377,2081,No7,6696.0,8100.0,55.0,2.0
1224,41637292,61,33,16,33,9,2,1,220.327868852459,12.180327868852459,7.049180327868853,3.7704918032786887,9.311475409836065,95,Sunlight,6603.0,5133.0,197.0,2.0
1263,110090274,60,31,31,14,13,1,1,247.45,14.066666666666666,6.85,3.6333333333333333,9.6,701,sjl.,5535.0,7184.0,,1.0
1577,23883296,60,29,0,0,2,22,36,52.11666666666667,3.1166666666666667,3.4,5.8,11.983333333333333,46,NoiA,5963.0,7004.0,845.0,5.0
731,836645054,60,28,8,33,15,3,1,179.21666666666667,6.9,7.433333333333334,4.783333333333333,10.1,2292,Despair,6022.0,,256.0,2.0
589,101525357,60,24,3,3,20,4,30,109.86666666666666,6.866666666666666,3.15,6.066666666666666,11.716666666666667,552,Fisherman,6347.0,7365.0,511.0,5.0
591,880093059,59,24,19,24,15,1,0,277.0508474576271,14.864406779661017,10.033898305084746,6.627118644067797,12.474576271186441,2333,SHOW ES,5094.0,,,2.0
543,358425548,59,25,3,18,37,1,0,212.864406779661,10.966101694915254,4.016949152542373,6.033898305084746,10.898305084745763,2083,celebrity,6358.0,5504.0,159.0,3.0
1587,361688848,59,18,41,10,7,1,0,304.6949152542373,7.0508474576271185,7.288135593220339,3.152542372881356,6.915254237288136,2094,dnm,5803.0,,45.0,1.0
1422,129852226,59,24,31,25,2,1,0,277.0508474576271,12.711864406779661,6.203389830508475,3.864406779661017,9.203389830508474,1026,Ani,6705.0,7365.0,274.0,1.0
337,180950681,59,34,0,2,16,24,17,94.13559322033899,5.440677966101695,3.152542372881356,6.6440677966101696,12.711864406779661,1497,Daydream,5740.0,6371.0,680.0,4.0
1613,114585639,59,25,5,31,20,2,1,189.57627118644066,5.711864406779661,5.915254237288136,4.5423728813559325,9.661016949152541,786,Lil_Nick,5448.0,4552.0,101.0,2.0
24,388268361,59,26,18,31,7,2,1,242.1864406779661,7.966101694915254,7.47457627118644,4.033898305084746,10.05084745762712,2164,JP,4675.0,,410.0,2.0
1293,195353057,58,22,45,11,2,0,0,270.7241379310345,16.724137931034484,7.137931034482759,4.103448275862069,8.206896551724139,1597,Golem,5668.0,6763.0,404.0,1.0
668,52309044,58,20,2,10,34,12,0,156.43103448275863,9.689655172413794,3.1379310344827585,6.431034482758621,11.362068965517242,132,MYSmoon,6513.0,7223.0,201.0,3.0
1027,318588173,58,24,21,26,9,0,2,256.58620689655174,8.362068965517242,7.310344827586207,3.896551724137931,10.344827586206897,1986,casiasea-,5727.0,3106.0,235.0,2.0
1282,898455820,58,33,8,27,22,1,0,233.8793103448276,6.758620689655173,7.086206896551724,4.706896551724138,10.172413793103448,2354,Malr1ne,6242.0,,346.0,2.0
400,134683396,58,26,40,16,1,0,1,258.7413793103448,9.551724137931034,7.275862068965517,3.5172413793103448,8.793103448275861,1076,Puer tea,6379.0,7377.0,173.0,1.0
509,168108415,58,32,46,10,1,0,1,317.6896551724138,10.620689655172415,8.96551724137931,2.7758620689655173,7.4655172413793105,1390,Creep-,5098.0,7011.0,79.0,1.0
1451,92071256,58,13,20,31,7,0,0,220.05172413793105,7.793103448275862,6.724137931034483,4.844827586206897,6.586206896551724,407,мιlle,5420.0,,509.0,2.0
183,102304762,58,27,2,4,26,10,16,102.01724137931035,5.310344827586207,4.379310344827586,5.172413793103448,12.551724137931034,572,grentxd,5440.0,6209.0,563.0,3.0
280,140153524,57,29,0,0,0,5,52,46.92982456140351,2.9649122807017543,2.4210526315789473,5.947368421052632,12.807017543859649,1160,Q,7873.0,,,5.0
453,149921463,57,25,2,7,41,2,5,162.28070175438597,5.280701754385965,4.456140350877193,4.912280701754386,11.491228070175438,1226,Duffy.达菲熊,6092.0,6577.0,116.0,3.0
705,106278629,57,19,13,37,7,0,0,247.3684210526316,10.070175438596491,7.43859649122807,4.87719298245614,7.052631578947368,649,Desperate-,6388.0,7036.0,237.0,2.0
317,129570149,57,21,4,10,41,2,0,159.2982456140351,11.210526315789474,4.807017543859649,5.578947368421052,10.912280701754385,1020,Rabish,5145.0,3983.0,127.0,3.0
1475,397240228,57,30,16,37,4,0,0,296.9122807017544,5.614035087719298,7.684210526315789,4.2631578947368425,9.280701754385966,2185,RayLalisa,6417.0,,620.0,2.0
